"Name","Chr:bp","Genomic size (bp)","Class","Source Study","Study description"
"nsv984671","14:39864796-106879456","-","complex alteration","DGVa:nstd92","Database of Genomic Variants Archive: Forsberg 2014 ""We describe age-related accumulation of copy number variation (CNVs) on periferal blood cells of elderly men from 2 Swedish cohorts of normally-aging subjects, [ULSAM|http://www2.pubcare.uu.se/ULSAM/] and [PIVUS|http://www.medsci.uu.se/pivus/]. DNA was tested on Illumina genotyping arrays and LogR Ratio and B-allele-frequency data were used to identify somatic copy number events on automosomes and sex chromosomes. Loss of chromosome Y was found in at least 8.2% and 20.5% of subjects respectively. Median survival time and all-cause mortality, as well as cancer mortality, were found to be significatively associated with loss of chromosome Y in the studied subjects."""
"nsv2778741","14:62027214-106877229","44,850,016","CNV","DGVa:nstd37","Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."""
"nsv3899362","14:62027214-106877229","44,850,016","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv4323072","14:65793879-70322613","4,528,735","inversion","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv4675709","14:66864449-67985253","1,120,805","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv1054761","14:66979132-68957027","1,977,896","CNV","DGVa:nstd100","Database of Genomic Variants Archive: Coe 2014 ""Refining analyses of copy number variation identifies specific genes associated with developmental delay."" PMID:25217958"
"nsv3141402","14:67088980-67865144","776,165","CNV","DGVa:nstd151","Database of Genomic Variants Archive: Copy number variation (CNV) affecting protein-coding genes contributes substantially to human diversity and disease. Here we characterized the rates and properties of rare genic CNVs (<0.5% frequency) in exome sequencing data from nearly 60,000 individuals in the Exome Aggregation Consortium (ExAC) database. For every gene, we empirically estimated an index of relative intolerance to CNVs that demonstrated moderate correlation with measures of genic constraint based on single-nucleotide variation (SNV) and was independently correlated with measures of evolutionary conservation. The ExAC CNV data constitute a critical component of an integrated database spanning the spectrum of human genetic variation, aiding in the interpretation of personal genomes as well as population-based disease studies."
"nsv3144828","14:67301386-67887291","585,906","CNV","DGVa:nstd151","Database of Genomic Variants Archive: Copy number variation (CNV) affecting protein-coding genes contributes substantially to human diversity and disease. Here we characterized the rates and properties of rare genic CNVs (<0.5% frequency) in exome sequencing data from nearly 60,000 individuals in the Exome Aggregation Consortium (ExAC) database. For every gene, we empirically estimated an index of relative intolerance to CNVs that demonstrated moderate correlation with measures of genic constraint based on single-nucleotide variation (SNV) and was independently correlated with measures of evolutionary conservation. The ExAC CNV data constitute a critical component of an integrated database spanning the spectrum of human genetic variation, aiding in the interpretation of personal genomes as well as population-based disease studies."
"nsv482971","14:67433284-89333656","21,900,373","CNV","DGVa:nstd41","Database of Genomic Variants Archive: Iafrate 2004 ""Detection of large-scale variation in the human genome."" PMID:15286789"
"nsv2778755","14:67568523-73101422","5,532,900","CNV","DGVa:nstd37","Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."""
"nsv3903706","14:67568523-73101422","5,532,900","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv3143667","14:67642183-67887291","245,109","CNV","DGVa:nstd151","Database of Genomic Variants Archive: Copy number variation (CNV) affecting protein-coding genes contributes substantially to human diversity and disease. Here we characterized the rates and properties of rare genic CNVs (<0.5% frequency) in exome sequencing data from nearly 60,000 individuals in the Exome Aggregation Consortium (ExAC) database. For every gene, we empirically estimated an index of relative intolerance to CNVs that demonstrated moderate correlation with measures of genic constraint based on single-nucleotide variation (SNV) and was independently correlated with measures of evolutionary conservation. The ExAC CNV data constitute a critical component of an integrated database spanning the spectrum of human genetic variation, aiding in the interpretation of personal genomes as well as population-based disease studies."
"nsv542122","14:67670196-67876481","206,286","CNV","DGVa:nstd54","Database of Genomic Variants Archive: Cooper 2011 ""A copy number variation morbidity map of developmental delay."" PMID:21841781"
"nsv1042536","14:67670196-67876481","206,286","CNV","DGVa:nstd100","Database of Genomic Variants Archive: Coe 2014 ""Refining analyses of copy number variation identifies specific genes associated with developmental delay."" PMID:25217958"
"nsv4457296","14:67681731-68606525","924,795","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv3144726","14:67733743-67887291","153,549","CNV","DGVa:nstd151","Database of Genomic Variants Archive: Copy number variation (CNV) affecting protein-coding genes contributes substantially to human diversity and disease. Here we characterized the rates and properties of rare genic CNVs (<0.5% frequency) in exome sequencing data from nearly 60,000 individuals in the Exome Aggregation Consortium (ExAC) database. For every gene, we empirically estimated an index of relative intolerance to CNVs that demonstrated moderate correlation with measures of genic constraint based on single-nucleotide variation (SNV) and was independently correlated with measures of evolutionary conservation. The ExAC CNV data constitute a critical component of an integrated database spanning the spectrum of human genetic variation, aiding in the interpretation of personal genomes as well as population-based disease studies."
"nsv1054697","14:67735287-67879265","143,979","CNV","DGVa:nstd100","Database of Genomic Variants Archive: Coe 2014 ""Refining analyses of copy number variation identifies specific genes associated with developmental delay."" PMID:25217958"
"nsv4230873","14:67765360-67865398","100,039","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv4225116","14:67767283-67879283","112,001","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv4729269","14:67771016-67893047","122,032","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv4216922","14:67783881-67820392","36,512","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv1771813","14:67821450-67821475","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv74331","14:67821471-67821477","7","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"esv1087593","14:67821665-67821666","2","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"nsv1748441","14:67821785-67821795","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748442","14:67821984-67822007","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1747984","14:67822718-67822740","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv3634808","14:67823436-67823436","-","mobile element insertion","DGVa:estd214","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Phase 3"
"nsv3096981","14:67823436-67823436","-","mobile element insertion","DGVa:nstd144","Database of Genomic Variants Archive: Gardner 2017 ""Mobile element insertions (MEIs) represent ~25% of all structural variants in human genomes. Moreover, when MEIs disrupt genes, they can influence human traits and diseases. Therefore, MEIs should be fully discovered along with other forms of genetic variation. Here, we describe the Mobile Element Locator Tool (MELT), which was developed as part of the 1000 Genomes Project to perform routine MEI discovery on a population scale. We then used MELT to perform MEI discovery in modern humans, chimpanzees, and ancient (Neanderthal and Denisovan) hominids. Overall, our study provides the most comprehensive map of MEIs to date spanning chimpanzees, ancient hominids, and modern humans."""
"nsv4506217","14:67823436-67823436","-","mobile element insertion","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv3911031","14:67823656-68813174","989,519","CNV","dbVar:nstd102","NCBI database of human genomic structural variation: Structural Variants with clinical assertions, submitted to ClinVar by external labs."
"nsv1748134","14:67824260-67824274","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1747985","14:67825739-67825755","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748135","14:67826108-67826122","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv3184370","14:67826686-67826687","2","CNV","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"nsv1747986","14:67826687-67826700","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv1380579","14:67826699-67826699","-","insertion","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"esv1744198","14:67826699-67826700","2","CNV","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"nsv86278","14:67827464-67827464","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1771815","14:67827464-67827475","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv82416","14:67829575-67829575","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1748444","14:67830405-67830419","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771816","14:67830891-67830903","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv76516","14:67831066-67831066","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1747987","14:67831704-67831715","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2363187","14:67832955-67832956","2","CNV","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"nsv4227224","14:67834283-67869283","35,001","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"esv3451515","14:67834629-67835114","486","CNV","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
"nsv1771817","14:67835511-67835532","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv75924","14:67835547-67835547","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv75925","14:67835582-67835583","2","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1771818","14:67835688-67835706","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748136","14:67836488-67836503","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv84286","14:67836999-67836999","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1748446","14:67837144-67837185","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv3308025","14:67837244-67837303","-","mobile element insertion","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
"esv3333574","14:67837256-67837306","-","insertion","DGVa:estd59","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092"
"nsv4505528","14:67837273-67837273","-","mobile element insertion","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv3522026","14:67837273-67837273","-","mobile element insertion","dbVar:nstd152","NCBI database of human genomic structural variation: Chaisson 2018 ""This is an integrated callset from three individuals (HG00514, HG00733, and NA19240) sequenced using Illumina, Illumina 3.5 kbp jumping libraries, Illumina 6kbp jumping libraries, PacBio, BioNano Genomics, 10x, Hi-C, and Strand-seq."""
"nsv4717480","14:67837273-67837273","-","mobile element insertion","dbVar:nstd186","NCBI database of human genomic structural variation: A curated dataset of all structural variants in dbVar that meet the following criteria: were part of a study with at least 100 samples; included allele frequency data; had an allele frequency of >=0.01 in at least one population. Data content of this study is subject to change as new data become available. See Variant Summary counts for nstd186 in [dbVar Variant Summary|/dbvar/content/var_summary/#nstd186]."
"esv3634809","14:67837286-67837286","-","mobile element insertion","DGVa:estd214","Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Phase 3"
"nsv3099832","14:67837286-67837286","-","mobile element insertion","DGVa:nstd144","Database of Genomic Variants Archive: Gardner 2017 ""Mobile element insertions (MEIs) represent ~25% of all structural variants in human genomes. Moreover, when MEIs disrupt genes, they can influence human traits and diseases. Therefore, MEIs should be fully discovered along with other forms of genetic variation. Here, we describe the Mobile Element Locator Tool (MELT), which was developed as part of the 1000 Genomes Project to perform routine MEI discovery on a population scale. We then used MELT to perform MEI discovery in modern humans, chimpanzees, and ancient (Neanderthal and Denisovan) hominids. Overall, our study provides the most comprehensive map of MEIs to date spanning chimpanzees, ancient hominids, and modern humans."""
"nsv4507711","14:67837286-67837286","-","mobile element insertion","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv3560362","14:67837286-67837286","-","mobile element insertion","dbVar:nstd152","NCBI database of human genomic structural variation: Chaisson 2018 ""This is an integrated callset from three individuals (HG00514, HG00733, and NA19240) sequenced using Illumina, Illumina 3.5 kbp jumping libraries, Illumina 6kbp jumping libraries, PacBio, BioNano Genomics, 10x, Hi-C, and Strand-seq."""
"nsv990382","14:67837286-67837287","-","mobile element insertion","DGVa:nstd94","Database of Genomic Variants Archive: Helman 2014 ""Somatic retrotransposition in human cancer revealed by whole-genome and exome sequencing."" PMID:24823667"
"nsv76037","14:67837635-67837635","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv75565","14:67837636-67837636","-","insertion","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1747988","14:67838805-67838817","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv3184371","14:67840806-67840807","2","CNV","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"nsv1748447","14:67840807-67840821","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2433562","14:67843735-67843735","-","insertion","DGVa:estd197","Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
"esv2926245","14:67843735-67843735","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"esv2159939","14:67843736-67843736","-","insertion","DGVa:estd194","Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
"esv1607329","14:67843744-67843744","-","insertion","DGVa:estd22","Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
"nsv1748448","14:67843823-67843833","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748137","14:67844232-67844242","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"esv2926246","14:67844258-67844258","-","insertion","DGVa:estd209","Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
"nsv1748138","14:67844602-67844625","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1748139","14:67845672-67845697","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771819","14:67847327-67847348","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv1771821","14:67849268-67849291","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
"nsv4231913","14:67851132-67856675","5,544","CNV","dbVar:nstd166","NCBI database of human genomic structural variation: The v2.1 release of gnomAD-SV represents a catalogue of structural variants (SVs) discovered from whole-genome sequencing of 14,891 individuals at 32X mean coverage with 2x150bp Illumina reads. From this dataset, site-level SV data was able to be released for 10,847 unrelated individuals with appropriate consent for broad data sharing."
"nsv73214","14:67851376-67851380","5","CNV","DGVa:nstd6","Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
"nsv1771822","14:67854634-67854647","-","short tandem repeat variation","DGVa:nstd128","Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
